year,deltaC
1988,0.20871429
1989,0.24371429
1990,0.27871429
1991,0.24971429
1992,0.30271429
1993,0.29071429
1994,0.24971429
1995,0.25571429
1996,0.11971429
1997,0.16071429
1998,0.24771429
1999,0.37971429
2000,0.40871429
2001,0.49071429
2002,0.45571429
2003,0.52871429
2004,0.57771429
2005,0.53771429
2006,0.67871429
2007,0.66171429
2008,0.68471429
2009,0.71671429
2010,0.87871429
2011,0.81471429
2012,0.90871429
2013,0.89271429
2014,0.91471429
2015,0.84371429
2016,0.79071429
2017,0.90271429
2018,0.97671429
2019,0.94771429
