year,deltaC
1990,0.18012269
1991,0.19929401
1992,0.21858087
1993,0.23804023
1994,0.25777158
1995,0.27791744
1996,0.29864312
1997,0.3201089
1998,0.34244172
1999,0.36571254
2000,0.38990372
2001,0.41491821
2002,0.44061652
2003,0.46685638
2004,0.49353498
2005,0.52059529
2006,0.54798669
2007,0.57561839
2008,0.60334697
2009,0.63099676
2010,0.65839162
2011,0.68541074
2012,0.71201601
2013,0.73824685
2014,0.76423321
2015,0.79019426
2016,0.81639373
2017,0.84304482
2018,0.87026694
2019,0.89808379
2020,0.92643822
