year,value
1980,157.325714285714
1981,149.982857142857
1982,138.282857142857
1983,148.828571428571
1984,138.574285714285
1985,141.674285714285
1986,139.977142857142
1987,133.277142857142
1988,136.023809523809
1989,134.661904761904
1990,118.028571428571
1991,113
1992,109.757142857142
1993,101.361904761904
1994,101.838095238095
1995,88.2428571428571
1996,83.7571428571428
1997,89.4571428571428
1998,87.1142857142857
1999,89.5619047619047
2000,78.9523809523809
2001,83.7428571428571
2002,74.5523809523809
2003,78.3333333333333
2004,72.2
2005,74.5380952380952
2006,65.9619047619047
2007,62.0571428571428
2008,52.4619047619047
2009,46.3852380952381
2010,40.2057142857142
2011,33.7971428571428
2012,31.3247619047619
2013,27.3957142857142
2014,27.3380952380952
2015,22.9485714285714
2016,15.9628571428571
2017,14.3842857142857
2018,14.2285714285714
2019,12.7514285714285
