year,value
1958,313.33
1959,314.80
1960,315.00
1961,316.10
1962,316.69
1963,317.12
1964,317.79
1965,318.87
1966,319.79
1967,320.72
1968,321.31
1969,322.85
1970,323.98
1971,324.80
1972,326.50
1973,328.16
1974,328.30
1975,329.37
1976,330.15
1977,332.41
1978,333.75
1979,335.31
1980,337.27
1981,338.58
1982,339.60
1983,341.59
1984,343.10
1985,344.49
1986,345.93
1987,347.96
1988,350.20
1989,351.49
1990,353.07
1991,353.81
1992,354.32
1993,355.41
1994,357.53
1995,359.45
1996,360.89
1997,362.49
1998,365.52
1999,366.72
2000,368.37
2001,369.76
2002,372.25
2003,374.66
2004,376.16
2005,378.35
2006,380.15
2007,382.45
2008,384.19
2009,386.02
2010,388.67
2011,390.28
2012,392.98
2013,395.16
2014,397.28
2015,400.16
2016,403.55
2017,405.12
2018,408.02
2019,410.25
2020,417.07
