year,value
1950,0
1951,345
1952,906
1953,1485
1954,1929
1955,1574
1956,1752
1957,1872
1958,2728
1959,3166
1960,3720
1961,4114
1962,4321
1963,4637
1964,4297
1965,4125
1966,4330
1967,4414
1968,4528
1969,5029
1970,5271
1971,5510
1972,5768
1973,5899
1974,6091
1975,6286
1976,6504
1977,6892
1978,7124
1979,7537
1980,7671
1981,7862
1982,8320
1983,8190
1984,8478
1985,8761
1986,9338
1987,9227
1988,9311
1989,9644
1990,10151
1991,10584
1992,10687
1993,10994
1994,11669
1995,12136
1996,12571
1997,13363
1998,13886
1999,14613
2000,14840
2001,15069
2002,15507
2003,16078
2004,16770
2005,17510
2006,18343
2007,18954
2008,19371
2009,19921
2010,20763
2011,21672
2012,22409
2013,23254
2014,24037
2015,25154
2016,26135
2017,26904
2018,27795
2019,28926
