year,value
1961,380
1962,400
1963,440
1964,480
1965,510
1966,540
1967,580
1968,630
1969,660
1970,720
1971,770
1972,840
1973,910
1974,980
1975,1040
1976,1050
1977,1070
1978,1070
1979,1110
1980,1080
1981,1040
1982,1100
1983,1090
1984,1150
1985,1180
1986,1280
1987,1360
1988,1460
1989,1410
1990,1320
1991,1190
1992,1080
1993,960
1994,820
1995,760
1996,700
1997,640
1998,600
1999,590
2000,560
2001,530
2002,490
2003,480
2004,470
2005,450
2006,430
2007,410
2008,400
2009,390
2010,380
2011,370
2012,350
2013,340
2014,320
